Datetime,GR_load_actual_entsoe_transparency,GR_solar_generation_actual,GR_wind_onshore_generation_actual
2015-01-12 20:00:00+00:00,7.4862,0.1802,0.0876
2015-01-12 21:00:00+00:00,6.7082,0.1802,0.0876
2015-01-12 22:00:00+00:00,6.004,0.1802,0.0876
2015-01-12 23:00:00+00:00,5.3866,0.1802,0.0876
2015-01-13 00:00:00+00:00,5.0154,0.1802,0.0876
2015-01-13 01:00:00+00:00,4.8244,0.1802,0.0876
2015-01-13 02:00:00+00:00,4.7732,0.1802,0.0876
2015-01-13 03:00:00+00:00,4.7986,0.1802,0.0876
2015-01-13 04:00:00+00:00,5.139,0.1802,0.0876
2015-01-13 05:00:00+00:00,6.2148,0.1802,0.0876
2015-01-13 06:00:00+00:00,7.5682,0.1802,0.0876
2015-01-13 07:00:00+00:00,8.491,0.1802,0.0876
2015-01-13 08:00:00+00:00,8.8544,0.1802,0.0876
2015-01-13 09:00:00+00:00,8.8728,0.1802,0.0876
2015-01-13 10:00:00+00:00,8.7836,0.1802,0.0876
2015-01-13 11:00:00+00:00,8.2122,0.1802,0.0876
2015-01-13 12:00:00+00:00,8.0524,0.1802,0.0876
2015-01-13 13:00:00+00:00,8.319,0.1802,0.0876
2015-01-13 14:00:00+00:00,8.2936,0.1802,0.0876
2015-01-13 15:00:00+00:00,8.5538,0.1802,0.0876
2015-01-13 16:00:00+00:00,9.089,0.1802,0.0876
2015-01-13 17:00:00+00:00,9.0058,0.1802,0.0876
2015-01-13 18:00:00+00:00,8.7492,0.1802,0.0876
2015-01-13 19:00:00+00:00,8.184,0.1802,0.0876
2015-01-13 20:00:00+00:00,7.567,0.1802,0.0876
2015-01-13 21:00:00+00:00,6.788,0.1802,0.0876
2015-01-13 22:00:00+00:00,6.0672,0.1802,0.0876
2015-01-13 23:00:00+00:00,5.4456,0.1802,0.0876
2015-01-14 00:00:00+00:00,5.0628,0.1802,0.0876
2015-01-14 01:00:00+00:00,4.8792,0.1802,0.0876
2015-01-14 02:00:00+00:00,4.8372,0.1802,0.0876
2015-01-14 03:00:00+00:00,4.927,0.1802,0.0876
2015-01-14 04:00:00+00:00,5.2832,0.1802,0.0876
2015-01-14 05:00:00+00:00,6.4142,0.1802,0.0876
2015-01-14 06:00:00+00:00,7.7298,0.1802,0.0876
2015-01-14 07:00:00+00:00,8.636,0.1802,0.0876
2015-01-14 08:00:00+00:00,8.9702,0.1802,0.0876
2015-01-14 09:00:00+00:00,8.999,0.1802,0.0876
2015-01-14 10:00:00+00:00,8.901,0.1802,0.0876
2015-01-14 11:00:00+00:00,8.3614,0.1802,0.0876
2015-01-14 12:00:00+00:00,8.1654,0.1802,0.0876
2015-01-14 13:00:00+00:00,8.4152,0.1802,0.0876
2015-01-14 14:00:00+00:00,8.4632,0.1802,0.0876
2015-01-14 15:00:00+00:00,8.5712,0.1802,0.0876
2015-01-14 16:00:00+00:00,9.101,0.1802,0.0876
2015-01-14 17:00:00+00:00,9.047,0.1802,0.0876
2015-01-14 18:00:00+00:00,8.7766,0.1802,0.0876
2015-01-14 19:00:00+00:00,8.233,0.1802,0.0876
2015-01-14 20:00:00+00:00,7.5878,0.1802,0.0876
2015-01-14 21:00:00+00:00,6.8616,0.1802,0.0876
2015-01-14 22:00:00+00:00,6.0532,0.1802,0.0876
2015-01-14 23:00:00+00:00,5.4914,0.1802,0.0876
2015-01-15 00:00:00+00:00,5.1744,0.1802,0.0876
2015-01-15 01:00:00+00:00,4.996,0.1802,0.0876
2015-01-15 02:00:00+00:00,4.9444,0.1802,0.0876
2015-01-15 03:00:00+00:00,5.0252,0.1802,0.0876
2015-01-15 04:00:00+00:00,5.3562,0.1802,0.0876
2015-01-15 05:00:00+00:00,6.4284,0.1802,0.0876
2015-01-15 06:00:00+00:00,7.7162,0.1802,0.0876
2015-01-15 07:00:00+00:00,8.586,0.1802,0.0876
