DATE,HOUR,ENERGY(MWh)
20200616,10,1199.342569
20200616,11,1564.173032
20200616,12,1795.043921
20200616,13,1925.559848
20200616,14,1907.127484
20200616,15,1817.188227
20200616,16,1634.803113
20200616,17,1371.844675
20200616,18,1032.277413
20200616,19,651.3271953
20200616,20,304.0097808
20200616,21,155.5282589
20200616,22,138.2335426
20200616,23,144.0450067
20200616,24,133.7599456
20200617,1,131.5657514
20200617,2,120.3019778
20200617,3,122.6630238
20200617,4,119.2502636
20200617,5,118.3399294
20200617,6,123.1474868
20200617,7,149.743698
20200617,8,315.0876065
20200617,9,722.4263613
20200617,10,1168.885291
20200617,11,1510.64198
20200617,12,1707.668251
20200617,13,1776.171638
20200617,14,1763.391994
20200617,15,1638.651642
20200617,16,1426.018272
20200617,17,1184.520916
20200617,18,994.6482886
20200617,19,682.2005529
20200617,20,322.9947928
20200617,21,158.0876343
20200617,22,138.3077563
20200617,23,147.1659418
20200617,24,141.8283286
20200618,1,129.2198924
20200618,2,133.7580228
20200618,3,140.1155467
20200618,4,137.1130572
20200618,5,148.1771384
20200618,6,149.2873492
20200618,7,172.8032424
20200618,8,343.8180275
20200618,9,768.0616293
20200618,10,1254.421815
20200618,11,1624.419571
20200618,12,1876.524517
20200618,13,1956.247806
20200618,14,1914.045417
20200618,15,1811.406826
20200618,16,1691.848044
20200618,17,1434.847092
20200618,18,1104.08701
