,Diesel Gen,PV Park
312,2.59739,0.0
313,2.5312,0.0
314,2.47483,0.0
315,2.51829,0.0
316,2.79337,0.0
317,3.25083,0.0307329
318,2.92881,0.550827
319,1.7243,1.98818
320,1.5,3.08038
321,1.5,3.64775
322,1.5,3.82979
323,1.5,3.68558
324,1.5,3.22459
325,1.5,2.3026
326,2.62398,0.865248
327,3.60495,0.0401891
328,4.07068,0.0
329,4.11588,0.0
330,3.40314,0.0
331,3.86147,0.0
332,3.51797,0.0
333,2.5765,0.0
334,2.22175,0.0
335,1.96323,0.0
336,2.6675,0.0
337,2.55266,0.0
338,2.50508,0.0
339,2.52603,0.0
340,2.75346,0.0
341,3.22642,0.00472813
342,2.9842,0.458629
343,1.83049,1.80851
344,1.5,2.97163
345,1.5,3.57683
346,1.5,3.78723
347,1.5,3.68558
348,1.5,3.19858
349,1.5,2.2695
350,2.53107,0.853428
351,3.58831,0.0401891
352,4.048,0.0
353,4.07651,0.0
354,4.03083,0.0
355,3.78346,0.0
356,2.8075,0.0
357,2.54196,0.0
358,2.92787,0.0
359,2.66174,0.0
360,2.63984,0.0
361,2.55079,0.0
362,2.4965,0.0
363,2.53712,0.0
364,2.7889,0.0
365,3.23391,0.00945626
366,2.87789,0.50591
367,1.68868,1.90544
368,1.5,3.00473
369,1.5,3.56974
370,1.5,3.73759
371,1.5,3.56501
372,1.5,3.08038
373,1.5,2.18203
374,2.58455,0.836879
375,3.5613,0.0425532
376,4.03613,0.0
377,4.06229,0.0
378,4.01375,0.0
379,3.7458,0.0
380,3.45762,0.0
381,3.22938,0.0
382,2.9821,0.0
383,2.72989,0.0
384,2.01324,0.0
385,2.60389,0.0
386,2.52075,0.0
387,2.51873,0.0
388,2.62568,0.0
389,2.79511,0.00236407
390,2.59262,0.446809
391,1.64163,1.72577
392,1.5,2.81087
393,1.5,3.37116
394,1.5,3.55083
395,1.5,3.40898
396,1.5,2.98345
397,1.5,2.10638
398,2.48855,0.808511
399,3.39824,0.0449173
400,3.84702,0.0
401,3.87587,0.0
402,3.80351,0.0
403,3.58081,0.0
404,3.32346,0.0
405,3.13697,0.0
