,PV Park
711,0.05673758865248227
712,0.0
713,0.0
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.03309692671394799
726,0.13711583924349882
727,0.4302600472813239
728,0.6808510638297872
729,1.0638297872340425
730,1.1678486997635933
731,0.9976359338061466
732,0.6713947990543735
733,0.5295508274231678
734,0.24113475177304963
735,0.03546099290780142
736,0.0
737,0.0
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.004728132387706856
750,0.19621749408983452
751,0.7565011820330969
752,1.508274231678487
753,2.106382978723404
754,2.3711583924349884
755,2.465721040189125
756,1.8817966903073287
757,1.375886524822695
758,0.5342789598108747
759,0.0425531914893617
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.016548463356973995
774,0.4066193853427896
775,1.2174940898345155
776,1.7234042553191489
777,1.8794326241134751
778,2.0520094562647753
779,1.8959810874704492
780,1.6335697399527187
781,1.0851063829787233
782,0.6713947990543735
783,0.07328605200945626
784,0.0
785,0.0
786,0.0
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.02364066193853428
798,0.7754137115839244
799,2.1134751773049647
800,3.044917257683215
801,3.4704491725768323
802,3.657210401891253
803,3.600472813238771
804,3.104018912529551
805,2.3900709219858154
806,1.1938534278959811
807,0.1111111111111111
808,0.0
809,0.0
810,0.0
811,0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.018912529550827423
822,0.3971631205673759
823,1.0094562647754137
824,1.57919621749409
825,2.243498817966903
826,2.3333333333333335
827,2.2836879432624113
828,2.0969267139479904
829,1.7375886524822695
830,0.8841607565011821
831,0.10638297872340426
832,0.0
833,0.0
834,0.0
835,0.0
836,0.0
837,0.0
838,0.0
839,0.0
840,0.0
841,0.0
842,0.0
843,0.0
844,0.0
845,0.016548463356973995
846,0.5130023640661938
847,1.574468085106383
848,2.5271867612293146
849,3.203309692671395
850,3.4893617021276597
851,3.352245862884161
852,2.9078014184397163
853,2.08983451536643
854,1.0
855,0.13947990543735225
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.009456264775413711
870,0.2576832151300236
871,0.5791962174940898
872,0.6619385342789598
873,0.8037825059101655
874,1.1631205673758864
875,1.6382978723404256
876,2.1182033096926713
877,2.054373522458629
878,1.198581560283688
879,0.17494089834515367
880,0.0
881,0.0
882,0.0
883,0.0
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.03546099290780142
894,0.7801418439716312
895,1.7801418439716312
896,2.617021276595745
897,3.120567375886525
898,3.182033096926714
899,2.862884160756501
900,2.380614657210402
901,1.7683215130023642
902,0.8723404255319149
903,0.1276595744680851
904,0.0
905,0.0
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.01182033096926714
918,0.40189125295508277
919,1.1583924349881796
920,1.6406619385342789
921,2.0851063829787235
922,2.269503546099291
923,2.15839243498818
924,1.801418439716312
925,1.2860520094562649
926,0.6572104018912529
927,0.11583924349881797
928,0.0
929,0.0
930,0.0
931,0.0
932,0.0
933,0.0
934,0.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.009456264775413711
942,0.14420803782505912
943,0.5295508274231678
944,0.7635933806146572
945,0.8865248226950354
946,0.8203309692671394
947,0.7328605200945626
948,0.5366430260047281
949,0.2907801418439716
950,0.11583924349881797
951,0.016548463356973995
952,0.0
953,0.0
954,0.0
955,0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.018912529550827423
966,0.4562647754137116
967,1.3120567375886525
968,2.054373522458629
969,2.534278959810875
970,2.607565011820331
971,2.382978723404255
972,2.0874704491725766
973,1.6288416075650118
974,0.9101654846335697
975,0.17966903073286053
976,0.0
977,0.0
978,0.0
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,0.0
988,0.0
989,0.030732860520094562
990,0.6761229314420804
991,1.6808510638297873
992,2.49645390070922
993,3.023640661938534
994,3.25531914893617
995,3.2458628841607564
996,2.8817966903073287
997,2.3026004728132388
998,1.364066193853428
999,0.2695035460992908
1000,0.0
1001,0.0
1002,0.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.02127659574468085
1014,0.6572104018912529
1015,1.7234042553191489
1016,2.4893617021276597
1017,3.1016548463356974
1018,3.524822695035461
1019,3.4397163120567376
1020,3.0354609929078014
1021,2.359338061465721
1022,1.4231678486997636
1023,0.31678486997635935
1024,0.0
1025,0.0
1026,0.0
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,0.0
1034,0.0
1035,0.0
1036,0.0
1037,0.0425531914893617
1038,0.8392434988179669
1039,1.9905437352245863
1040,2.806146572104019
1041,3.2293144208037825
1042,3.392434988179669
1043,3.2174940898345152
1044,2.8203309692671397
1045,2.226950354609929
1046,1.2765957446808511
1047,0.2789598108747045
1048,0.0
1049,0.0
1050,0.0
1051,0.0
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.04491725768321513
1062,0.8085106382978723
1063,1.8959810874704492
1064,2.6950354609929077
1065,3.111111111111111
1066,3.2293144208037825
1067,3.1300236406619386
1068,2.817966903073286
1069,2.2222222222222223
1070,1.3026004728132388
1071,0.2978723404255319
1072,0.0
1073,0.0
1074,0.0
1075,0.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.0
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,0.06619385342789598
1086,0.9810874704491725
1087,2.203309692671395
1088,3.054373522458629
1089,3.574468085106383
1090,3.789598108747045
1091,3.6879432624113475
1092,3.1773049645390072
1093,2.4491725768321513
1094,1.5130023640661938
1095,0.35933806146572106
1096,0.0
1097,0.0
1098,0.0
1099,0.0
1100,0.0
1101,0.0
1102,0.0
1103,0.0
1104,0.0
1105,0.0
1106,0.0
1107,0.0
1108,0.0
1109,0.07801418439716312
1110,0.9645390070921985
1111,2.08274231678487
1112,2.92434988179669
1113,3.224586288416076
1114,3.276595744680851
1115,3.0260047281323876
1116,2.685579196217494
1117,2.1087470449172576
1118,1.1962174940898345
1119,0.2718676122931442
1120,0.0
1121,0.0
1122,0.0
1123,0.0
1124,0.0
1125,0.0
1126,0.0
1127,0.0
1128,0.0
1129,0.0
1130,0.0
1131,0.0
1132,0.0
1133,0.037825059101654845
1134,0.5200945626477541
1135,1.2174940898345155
1136,1.7635933806146573
1137,2.0472813238770686
1138,2.1016548463356974
1139,1.8794326241134751
1140,1.4822695035460993
1141,1.1063829787234043
1142,0.6288416075650118
1143,0.13947990543735225
1144,0.0
1145,0.0
1146,0.0
1147,0.0
1148,0.0
1149,0.0
1150,0.0
1151,0.0
1152,0.0
1153,0.0
1154,0.0
1155,0.0
1156,0.0
1157,0.05673758865248227
1158,0.7825059101654847
1159,1.9078014184397163
1160,2.7115839243498816
1161,3.354609929078014
1162,3.7115839243498816
1163,3.8085106382978724
1164,3.617021276595745
1165,2.962174940898345
1166,1.872340425531915
1167,0.5130023640661938
1168,0.0
1169,0.0
1170,0.0
1171,0.0
1172,0.0
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,0.0
1178,0.0
1179,0.0
1180,0.0
1181,0.09929078014184398
1182,1.1418439716312057
1183,2.4609929078014185
1184,3.375886524822695
1185,4.120567375886525
1186,4.453900709219858
1187,4.3947990543735225
1188,3.9314420803782504
1189,3.1560283687943262
1190,1.9739952718676124
1191,0.5366430260047281
1192,0.0
1193,0.0
1194,0.0
1195,0.0
1196,0.0
1197,0.0
1198,0.0
1199,0.0
1200,0.0
1201,0.0
1202,0.0
1203,0.0
1204,0.0
1205,0.13711583924349882
1206,1.297872340425532
1207,2.6146572104018913
1208,3.486997635933806
1209,3.938534278959811
1210,4.160756501182033
1211,3.9976359338061465
1212,3.6382978723404253
1213,2.978723404255319
1214,1.905437352245863
1215,0.5319148936170213
1216,0.0
1217,0.0
1218,0.0
1219,0.0
1220,0.0
1221,0.0
1222,0.0
1223,0.0
1224,0.0
1225,0.0
1226,0.0
1227,0.0
1228,0.0
1229,0.15602836879432624
1230,1.326241134751773
1231,2.631205673758865
1232,3.5011820330969265
1233,3.9952718676122934
1234,4.111111111111111
1235,3.983451536643026
1236,3.5721040189125297
1237,2.730496453900709
1238,1.5839243498817968
1239,0.42080378250591016
1240,0.0
1241,0.0
1242,0.0
1243,0.0
1244,0.0
1245,0.0
1246,0.0
1247,0.0
1248,0.0
1249,0.0
1250,0.0
1251,0.0
1252,0.0
1253,0.030732860520094562
1254,0.30260047281323876
1255,0.6572104018912529
1256,0.7825059101654847
1257,0.7139479905437353
1258,0.5531914893617021
1259,0.4940898345153664
1260,0.3333333333333333
1261,0.2033096926713948
1262,0.08983451536643026
1263,0.01182033096926714
1264,0.0
1265,0.0
1266,0.0
1267,0.0
1268,0.0
1269,0.0
1270,0.0
1271,0.0
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,0.0
1277,0.018912529550827423
1278,0.16548463356973994
1279,0.3877068557919622
1280,0.6288416075650118
1281,0.9479905437352246
1282,1.049645390070922
1283,1.0567375886524824
1284,0.8699763593380615
1285,0.6997635933806147
1286,0.4515366430260047
1287,0.13238770685579196
1288,0.0
1289,0.0
1290,0.0
1291,0.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,0.04964539007092199
1302,0.5342789598108747
1303,1.3049645390070923
1304,2.037825059101655
1305,2.5106382978723403
1306,2.640661938534279
1307,2.6666666666666665
1308,2.3735224586288415
1309,1.9598108747044918
1310,1.2293144208037825
1311,0.3262411347517731
1312,0.0
1313,0.0
1314,0.0
1315,0.0
1316,0.0
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.0
1322,0.0
1323,0.0
1324,0.0
1325,0.0591016548463357
1326,0.5839243498817966
1327,1.4184397163120568
1328,2.066193853427896
1329,2.5366430260047284
1330,2.938534278959811
1331,2.773049645390071
1332,2.6122931442080377
1333,2.132387706855792
1334,1.326241134751773
1335,0.408983451536643
1336,0.0
1337,0.0
1338,0.0
1339,0.0
1340,0.0
1341,0.0
1342,0.0
1343,0.0
1344,0.0
1345,0.0
1346,0.0
1347,0.0
1348,0.0
1349,0.18203309692671396
1350,1.070921985815603
1351,1.7754137115839244
1352,1.988179669030733
1353,1.7801418439716312
1354,1.5484633569739952
1355,1.3333333333333333
1356,1.1229314420803782
1357,0.7304964539007093
1358,0.35224586288416077
1359,0.09929078014184398
1360,0.0
1361,0.0
1362,0.0
1363,0.0
1364,0.0
1365,0.0
1366,0.0
1367,0.0
1368,0.0
1369,0.0
1370,0.0
1371,0.0
1372,0.0
1373,0.02364066193853428
1374,0.20567375886524822
1375,0.4515366430260047
1376,0.5886524822695035
1377,0.7541371158392435
1378,0.7754137115839244
1379,0.6761229314420804
1380,0.6052009456264775
1381,0.5130023640661938
1382,0.2718676122931442
1383,0.07328605200945626
1384,0.0
1385,0.0
1386,0.0
1387,0.0
1388,0.0
1389,0.0
1390,0.0
1391,0.0
1392,0.0
1393,0.0
1394,0.0
1395,0.0
1396,0.0
1397,0.08037825059101655
1398,0.6264775413711584
1399,1.2671394799054374
1400,1.7092198581560283
1401,1.8486997635933806
1402,1.9692671394799055
1403,1.9952718676122931
1404,1.872340425531915
1405,1.3451536643026005
1406,0.7588652482269503
1407,0.2458628841607565
1408,0.0
1409,0.0
1410,0.0
1411,0.0
1412,0.0
1413,0.0
1414,0.0
1415,0.0
1416,0.0
1417,0.0
1418,0.0
1419,0.0
1420,0.0
1421,0.13238770685579196
1422,0.7919621749408984
1423,1.5342789598108748
1424,2.2624113475177303
