,H2
1050,0.0
1051,0.0
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,0.0
1064,0.420697
1065,1.09277
1066,1.83136
1067,2.49799
1068,3.04891
1069,3.12799
1070,3.12799
1071,3.12799
1072,2.29
1073,2.29
1074,1.145
1075,0.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.0
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,0.0
1086,0.0
1087,0.537883
1088,1.53885
1089,2.78277
1090,4.14943
1091,5.49272
1092,6.64919
1093,7.25961
1094,7.25961
1095,7.25961
1096,7.25961
1097,7.25961
1098,7.25961
1099,7.25961
1100,7.25961
1101,7.25961
1102,7.25961
1103,7.25961
1104,7.25961
1105,7.25961
1106,7.25961
1107,7.25961
1108,7.25961
1109,7.25961
1110,7.25961
1111,7.25961
1112,7.80301
1113,8.55538
1114,9.31659
1115,9.90705
1116,10.321
1117,10.3481
1118,10.3481
1119,10.3481
1120,10.3481
1121,10.3481
1122,10.3481
1123,10.3481
1124,10.3481
1125,10.3481
1126,10.3481
1127,10.3481
1128,10.3481
1129,10.3481
1130,9.20313
1131,9.20313
1132,9.20313
1133,9.20313
1134,9.20313
1135,9.20313
1136,9.20313
1137,9.20313
1138,9.20313
1139,9.20313
1140,9.20313
1141,9.20313
1142,9.20313
1143,9.20313
1144,9.20313
1145,9.20313
1146,9.20313
1147,9.20313
1148,9.20313
1149,9.20313
1150,9.20313
1151,9.20313
1152,9.20313
1153,9.20313
1154,9.20313
1155,9.20313
1156,9.20313
1157,9.20313
1158,9.20313
1159,9.20313
1160,9.33942
1161,9.89482
1162,10.6736
1163,11.5266
1164,12.3281
1165,12.7409
1166,12.7409
1167,12.7409
1168,11.5959
1169,11.5959
1170,11.5959
1171,10.4509
1172,9.30587
1173,8.16087
1174,8.16087
1175,7.01587
1176,5.87087
1177,4.72587
1178,3.58087
1179,2.43587
1180,1.29087
1181,1.29087
1182,1.29087
1183,1.30852
1184,1.92007
1185,3.02614
1186,4.36516
1187,5.69777
1188,6.85331
1189,7.41714
1190,7.41714
1191,7.41714
1192,7.41714
1193,6.27214
1194,5.12714
1195,5.12714
1196,4.58
1197,3.435
1198,3.435
1199,2.29
1200,2.29
1201,1.145
