,Line
1297,-2.26647
1298,-2.20736
1299,-2.27081
1300,-2.5283
1301,-2.90586
1302,-2.65619
1303,-2.13612
1304,-1.5
1305,-1.5
1306,-1.5
1307,-1.5
1308,-1.5
1309,-1.5
1310,-2.10694
1311,-2.95313
1312,-3.64292
1313,-3.87413
1314,-3.86989
1315,-3.60664
1316,-3.24695
1317,-2.97967
1318,-2.68741
1319,-2.44665
1320,-1.72874
1321,-2.33652
1322,-2.28751
1323,-2.30714
1324,-2.53874
1325,-2.89667
1326,-2.60515
1327,-1.98272
1328,-1.5
1329,-1.5
1330,-1.5
1331,-1.5
1332,-1.5
1333,-1.5
1334,-1.84691
1335,-2.70928
1336,-3.49161
1337,-3.74887
1338,-3.77332
1339,-3.5816
1340,-3.24515
1341,-2.98425
1342,-2.68519
1343,-2.44363
1344,-2.43399
1345,-2.3628
1346,-2.31705
1347,-2.36078
1348,-2.58365
1349,-2.77651
1350,-2.06664
1351,-1.55857
1352,-1.5
1353,-1.60394
1354,-1.90596
1355,-2.21532
1356,-2.36225
1357,-2.83536
1358,-3.20757
1359,-3.44838
1360,-3.78307
1361,-3.9346
1362,-3.89457
1363,-3.60972
1364,-3.26794
1365,-3.06484
1366,-2.75619
1367,-2.49866
1368,-2.47828
1369,-2.41172
1370,-2.35906
1371,-2.37264
1372,-2.58232
1373,-2.95257
1374,-2.98798
1375,-2.96825
1376,-2.89563
1377,-2.77171
1378,-2.77787
1379,-2.90825
1380,-2.96236
1381,-3.16543
1382,-3.3408
1383,-3.4613
1384,-3.74709
1385,-3.86821
1386,-3.81718
1387,-3.59928
1388,-3.31066
1389,-3.11248
1390,-2.82434
1391,-1.90019
1392,-2.53799
1393,-1.74735
1394,-2.3567
1395,-2.36596
1396,-2.42895
1397,-2.47688
1398,-2.20682
1399,-1.82098
1400,-1.54086
1401,-1.5
1402,-1.5
1403,-1.5
1404,-1.5
1405,-1.97665
1406,-2.49314
1407,-2.92846
1408,-3.46033
1409,-3.68556
1410,-3.62355
1411,-3.40797
1412,-3.1445
1413,-2.95447
1414,-2.68931
1415,-2.44868
1416,-1.71881
