,Diesel,Solar,Hydrogen
806,500.0,500.0,270.0
807,500.0,500.0,270.0
808,500.0,500.0,270.0
809,500.0,500.0,270.0
810,500.0,500.0,270.0
811,500.0,500.0,270.0
812,500.0,500.0,270.0
813,500.0,500.0,270.0
814,500.0,500.0,270.0
815,500.0,500.0,270.0
816,500.0,500.0,270.0
817,500.0,500.0,270.0
818,500.0,500.0,270.0
819,500.0,500.0,270.0
820,500.0,500.0,270.0
821,500.0,500.0,270.0
822,500.0,500.0,270.0
823,500.0,500.0,270.0
824,500.0,500.0,270.0
825,159.0,159.0,270.0
826,159.0,159.0,270.0
827,159.0,159.0,270.0
828,159.0,159.0,270.0
829,500.0,500.0,270.0
830,500.0,500.0,270.0
831,500.0,500.0,270.0
832,500.0,500.0,270.0
833,500.0,500.0,270.0
834,500.0,500.0,270.0
835,500.0,500.0,270.0
836,500.0,500.0,270.0
837,500.0,500.0,270.0
838,500.0,500.0,270.0
839,500.0,500.0,270.0
840,500.0,500.0,270.0
841,500.0,500.0,270.0
842,500.0,500.0,270.0
843,500.0,500.0,270.0
844,500.0,500.0,270.0
845,500.0,500.0,270.0
846,500.0,500.0,270.0
847,500.0,500.0,270.0
848,159.0,159.0,270.0
849,159.0,159.0,270.0
850,159.0,159.0,270.0
851,159.0,159.0,270.0
852,159.0,159.0,270.0
853,159.0,159.0,270.0
854,500.0,500.0,270.0
855,500.0,500.0,270.0
856,500.0,500.0,270.0
857,500.0,500.0,270.0
858,500.0,500.0,270.0
859,500.0,500.0,270.0
860,500.0,500.0,270.0
861,500.0,500.0,270.0
862,500.0,500.0,270.0
863,500.0,500.0,270.0
864,500.0,500.0,270.0
865,500.0,500.0,270.0
866,500.0,500.0,270.0
867,500.0,500.0,270.0
868,500.0,500.0,270.0
869,500.0,500.0,270.0
870,500.0,500.0,270.0
871,500.0,500.0,270.0
872,500.0,500.0,270.0
873,500.0,500.0,270.0
874,500.0,500.0,270.0
875,500.0,500.0,270.0
876,159.0,159.0,270.0
877,159.0,159.0,270.0
878,500.0,500.0,270.0
879,500.0,500.0,270.0
880,500.0,500.0,270.0
881,500.0,500.0,270.0
882,500.0,500.0,270.0
883,500.0,500.0,270.0
884,500.0,500.0,270.0
885,500.0,500.0,270.0
886,500.0,500.0,270.0
887,500.0,500.0,270.0
888,500.0,500.0,270.0
889,500.0,500.0,270.0
890,500.0,500.0,270.0
891,500.0,500.0,270.0
892,500.0,500.0,270.0
893,500.0,500.0,270.0
894,500.0,500.0,270.0
895,159.0,159.0,270.0
896,159.0,159.0,270.0
897,159.0,159.0,270.0
898,159.0,159.0,270.0
899,159.0,159.0,270.0
